Site,url
HermMx_PM_GLAS_Jun2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_HermMx_PM_GLAS_Jun2013/lidar/geotiff/AMIGACarb_HermMx_PM_GLAS_Jun2013_CHM.tar.gz
Chihuahua_norte_NFI_May2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Chihuahua_norte_NFI_May2013/lidar/geotiff/AMIGACarb_Chihuahua_norte_NFI_May2013_CHM.tar.gz
Chihuahua_norte_GLAS_May2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Chihuahua_norte_GLAS_May2013/lidar/geotiff/AMIGACarb_Chihuahua_norte_GLAS_May2013_CHM.tar.gz
Herm_AM_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Herm_AM_GLAS_Apr2013/lidar/geotiff/AMIGACarb_Herm_AM_GLAS_Apr2013_CHM.tar.gz
Herm_AM_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Herm_AM_NFI_Apr2013/lidar/geotiff/AMIGACarb_Herm_AM_NFI_Apr2013_CHM.tar.gz
Chihua_Sud_GLAS_May2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Chihua_Sud_GLAS_May2013/lidar/geotiff/AMIGACarb_Chihua_Sud_GLAS_May2013_CHM.tar.gz
Chihua_Sud_NFI_May2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Chihua_Sud_NFI_May2013/lidar/geotiff/AMIGACarb_Chihua_Sud_NFI_May2013_CHM.tar.gz
PM_Guan_Chihuahua_GLAS_May2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_PM_Guan_Chihuahua_GLAS_May2013/lidar/geotiff/AMIGACarb_PM_Guan_Chihuahua_GLAS_May2013_CHM.tar.gz
Herm_Guan_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Herm_Guan_GLAS_Apr2013/lidar/geotiff/AMIGACarb_Herm_Guan_GLAS_Apr2013_CHM.tar.gz
Herm_Guan_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Herm_Guan_NFI_Apr2013/lidar/geotiff/AMIGACarb_Herm_Guan_NFI_Apr2013_CHM.tar.gz
PM1_Herm_Guan_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_PM1_Herm_Guan_GLAS_Apr2013/lidar/geotiff/AMIGACarb_PM1_Herm_Guan_GLAS_Apr2013_CHM.tar.gz
AM_Guan_Chihuahua_GLAS_May2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_AM_Guan_Chihuahua_GLAS_May2013/lidar/geotiff/AMIGACarb_AM_Guan_Chihuahua_GLAS_May2013_CHM.tar.gz
Guan_Potosi_1_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Guan_Potosi_1_GLAS_Apr2013/lidar/geotiff/AMIGACarb_Guan_Potosi_1_GLAS_Apr2013_CHM.tar.gz
Guan_Potosi_1_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Guan_Potosi_1_NFI_Apr2013/lidar/geotiff/AMIGACarb_Guan_Potosi_1_NFI_Apr2013_CHM.tar.gz
Guan_Oax_1_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Guan_Oax_1_NFI_Apr2013/lidar/geotiff/AMIGACarb_Guan_Oax_1_NFI_Apr2013_CHM.tar.gz
PozaRica_Hildalgo_NFI_May2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_PozaRica_Hildalgo_NFI_May2013/lidar/geotiff/AMIGACarb_PozaRica_Hildalgo_NFI_May2013_CHM.tar.gz
Hildalgo_May2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/Hildalgo_May2013/lidar/geotiff/Hildalgo_May2013_CHM.tif.gz
Oax_local_1_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Oax_local_1_GLAS_Apr2013/lidar/geotiff/AMIGACarb_Oax_local_1_GLAS_Apr2013_CHM.tar.gz
Oax_local_1_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Oax_local_1_NFI_Apr2013/lidar/geotiff/AMIGACarb_Oax_local_1_NFI_Apr2013_CHM.tar.gz
Cuern_Oax_PM_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Cuern_Oax_PM_NFI_Apr2013/lidar/geotiff/AMIGACarb_Cuern_Oax_PM_NFI_Apr2013_CHM.tar.gz
G5_Oax_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_G5_Oax_GLAS_Apr2013/lidar/geotiff/AMIGACarb_G5_Oax_GLAS_Apr2013_CHM.tar.gz
Oax_Chiap_1_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Oax_Chiap_1_GLAS_Apr2013/lidar/geotiff/AMIGACarb_Oax_Chiap_1_GLAS_Apr2013_CHM.tar.gz
Oax_Chiap_1_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Oax_Chiap_1_NFI_Apr2013/lidar/geotiff/AMIGACarb_Oax_Chiap_1_NFI_Apr2013_CHM.tar.gz
Chiaps_1_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Chiaps_1_NFI_Apr2013/lidar/geotiff/AMIGACarb_Chiaps_1_NFI_Apr2013_CHM.tar.gz
Chiaps_1_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Chiaps_1_GLAS_Apr2013/lidar/geotiff/AMIGACarb_Chiaps_1_GLAS_Apr2013_CHM.tar.gz
Chiap_Campeche_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Chiap_Campeche_NFI_Apr2013/lidar/geotiff/AMIGACarb_Chiap_Campeche_NFI_Apr2013_CHM.tar.gz
Yuc_Norte_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_Norte_GLAS_Apr2013/lidar/geotiff/AMIGACarb_Yuc_Norte_GLAS_Apr2013_CHM.tar.gz
Yuc_South_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_South_NFI_Apr2013/lidar/geotiff/AMIGACarb_Yuc_South_NFI_Apr2013_CHM.tar.gz
Yuc_South_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_South_GLAS_Apr2013/lidar/geotiff/AMIGACarb_Yuc_South_GLAS_Apr2013_CHM.tar.gz
Yuc_Centro_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_Centro_GLAS_Apr2013/lidar/geotiff/AMIGACarb_Yuc_Centro_GLAS_Apr2013_CHM.tar.gz
Yuc_Centro_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_Centro_NFI_Apr2013/lidar/geotiff/AMIGACarb_Yuc_Centro_NFI_Apr2013_CHM.tar.gz
Kuiic3_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/Kuiic3_Apr2013/lidar/geotiff/Kuiic3_Apr2013_CHM.tif.gz
Kuiic2_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/Kuiic2_Apr2013/lidar/geotiff/Kuiic2_Apr2013_CHM.tif.gz
Kuiic1_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/Kuiic1_Apr2013/lidar/geotiff/Kuiic1_Apr2013_CHM.tif.gz
Yuc_Norte_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_Norte_NFI_Apr2013/lidar/geotiff/AMIGACarb_Yuc_Norte_NFI_Apr2013_CHM.tar.gz
Out_of_the_Yuc_GLAS_May2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Out_of_the_Yuc_GLAS_May2013/lidar/geotiff/AMIGACarb_Out_of_the_Yuc_GLAS_May2013_CHM.tar.gz
Out_of_the_Yuc_NFI_May2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Out_of_the_Yuc_NFI_May2013/lidar/geotiff/AMIGACarb_Out_of_the_Yuc_NFI_May2013_CHM.tar.gz
Yuc_North_2_GLAS_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_North_2_GLAS_Apr2013/lidar/geotiff/AMIGACarb_Yuc_North_2_GLAS_Apr2013_CHM.tar.gz
Yuc_North_2_NFI_Apr2013,https://glihtdata.gsfc.nasa.gov/files/G-LiHT/AMIGACarb_Yuc_North_2_NFI_Apr2013/lidar/geotiff/AMIGACarb_Yuc_North_2_NFI_Apr2013_CHM.tar.gz
